Image Number,Average Hausdorff Distance,Dice Similarity Coefficient,Intersection over Union,Panoptic Quality
102,0.37660085513345776,0.9579958889284339,0.9193782238951624,0.834865325087801
61,0.8925030190432992,0.9547053741143944,0.9133361546803502,0.8132486225646219
88,0.3267754359258993,0.9601062019198039,0.9232733224222586,0.8994814428952661
39,0.4359891342470834,0.9623259242533918,0.9273874588810527,0.829989970814098
189,0.4597011989898541,0.957703890052421,0.9188405107840106,0.8447778665794516
65,0.08171991778655675,0.9569114098586694,0.9173826834104428,0.8986274174281529
129,0.5313293246331501,0.9542814957769239,0.9125605905634366,0.8446376485035831
133,0.7117043015375424,0.954764719791913,0.9134447888152388,0.8262827673623728
131,0.7185867272443243,0.956736305313374,0.9170608640807316,0.8362289269765218
179,0.611944181493579,0.9587507365939893,0.9207696661007357,0.8871438611191487
161,0.304959829385841,0.9516962379071563,0.907843959280639,0.8425321284028673
78,0.7769790213079065,0.9531427591087474,0.9104801704359227,0.8176061361516055
146,0.2617818447293121,0.9605370905587669,0.9240705770589803,0.867489710510501
153,0.46234597025201185,0.9571077292800911,0.9177436214187296,0.8903472371947714
38,0.41803680873332866,0.9522569348242882,0.9088649369056812,0.8409285825841567
128,0.6232738083705655,0.9561124747961778,0.9159152223890155,0.8372547891404893
74,0.5138694757019199,0.9433067583763223,0.8926968785443069,0.8104984343998016
170,1.2985197556333479,0.9619324018390529,0.9266568030282651,0.8394094233890231
59,0.4146391998140742,0.9618659795478142,0.9265335309297047,0.8105206052898924
126,1.1793767447094772,0.9532553611265135,0.9106856875354178,0.8578980213075172
17,0.4065322744559108,0.9594417053978838,0.9220451274810612,0.8607726606350501
18,0.561726945867922,0.9684436984764324,0.9388180723108178,0.8484466907589935
41,0.42837385826978236,0.9525047558655675,0.9093165445850233,0.8303746508944566
34,0.16467319919317852,0.9497964590176661,0.9043927409816677,0.830127690462458
24,0.30064488788446503,0.9613877264402502,0.9256464138876199,0.8604704628528004
27,0.5594136217703999,0.9733082149736468,0.948004288306119,0.7805205258456144
96,0.4867037153448835,0.9575355450236966,0.9185306419348973,0.846774232153799
20,0.2888221714507425,0.9519436764954263,0.9082943875690209,0.8029179890950521
98,0.27097888028420924,0.9480758518805551,0.9012777713825256,0.8434540381798378
79,1.0923675278869702,0.9453832362169431,0.8964234864100984,0.8147710729528357
154,0.7300879482236308,0.9601986416417148,0.9234443039752774,0.8287061055501302
120,0.5361705802206058,0.9511811957198328,0.9069070766448112,0.8463853549607944
23,0.5069915835943669,0.966342574344151,0.9348770205283562,0.7947078886486235
93,0.35833798603915396,0.9595236253963344,0.9221964561779046,0.8560987954321204
196,0.3390219217004309,0.9547773654916512,0.9134679387619259,0.904400866964589
75,0.33774304241362857,0.955790482391749,0.9153244308488735,0.8372385491968685
127,0.23818447995766787,0.9715631492835589,0.9446988880325884,0.8743674854815233
186,1.3150277582800383,0.943006993006993,0.8921601058551109,0.7632634556708644
156,0.5523429881900174,0.9492594480517934,0.9034194466861926,0.8533311239102992
7,0.5559861359524045,0.9619196474019247,0.9266331310427579,0.8443321626349146
35,0.6142279722273686,0.9583715878809593,0.9200705133717431,0.825298026756004
43,0.4189919952281766,0.9620738889880421,0.9269194394291118,0.6774770645868211
149,0.35876071631045364,0.9707176217515164,0.9431013706883566,0.8724422866491963
57,0.7185068948862359,0.9638853425208556,0.9302882992370536,0.8688133708591568
92,0.34202594044913287,0.9597972949648235,0.9227021717198535,0.8154381316842385
11,0.3846994991338254,0.9635499916168334,0.9296637404827125,0.8562664249079014
90,0.7800551909684045,0.8953843990578971,0.8105846036342806,0.1901955267395636
72,0.4080028938428783,0.9682568719010254,0.9384669938970904,0.80802001953125
77,0.16739131088312748,0.966977048253441,0.9360654055348407,0.8443945664625901
184,0.7615728545079764,0.9559506257082627,0.9156182161947667,0.7665404195077848
124,0.23676931297358855,0.9588246636704787,0.9209060474392763,0.8429453893361358
73,0.19864281302662706,0.9632766089464432,0.9291548905513993,0.8520522117614746
33,0.5776634197502989,0.9556659543919488,0.9150960446142724,0.8429156096085259
62,0.5010613755068133,0.9415832098051268,0.8896147704079455,0.8240459824642192
0,0.5454465161525559,0.9612741377856481,0.9254358370710125,0.8788517222684973
158,0.2704502062575297,0.9655431616531766,0.9333817766589676,0.8584623821711136
87,0.024170057223613005,0.9798624552155829,0.960519941869853,0.8969673374720982
138,0.46428278892545277,0.9456607838788378,0.8969227070561365,0.6605180340048707
64,0.9452655443806103,0.950871021371949,0.9063433007211428,0.811595458984375
84,0.556267264531642,0.9608453865651126,0.9246414096060966,0.8388104106104651
