,Average Hausdorff Distance,Intersection over Union,Dice Similarity Coefficient,Average Panoptic Quality
Average,0.5117503771469875,0.9176050234124773,0.9569208620402329,0.8247213516058259
Standard Deviation,0.2679437410152572,0.019561222635817856,0.010934598801866136,0.0930381489353246
